from,to,relationship,year
ck,koaaus,2,2011
ck,umwelt,1,2021
ck,baukultur,3,2021
ck,deneff,3,2021
ck,stadtbahn,3,2017
ck,verbwohn,3,2018
ck,kuaus,2,2013
ck,veraus,2,2013
ck,bundestag,2,2013
jb,unimannheim,7,2010
jb,gsess,7,2014
jb,juli,2,2010
jb,hirschfeld,3,2018
jb,aids,3,2019
jb,bundestag,2,2017
jb,fdp,2,2017
jb,bildungaus,2,2017
jb,bildung,2,2021
jb,ecoclub,3,2021
jb,privaths,3,2021
jb,lisl,3,2021
jb,dsw,3,2021
jb,fdp,2,2006
