id,name_short,name,type,sex,birth,position,education,sucject,party,religion,kids,twitter,instagram,facebook,youtube
gemeinaus,gemeinsamerausschuss,Gemeinsamemer Ausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
innerenaus,auschussinneres,Ausschuss für Inneres und Heimat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wahlaus,wahlausschuss,Wahlausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vermittaus,vermittlungsausschuss,Vermittlungsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ausschusswahl,afwiug,"Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
freshfields,freshfieldsbruckhaus,"Freshfields Bruckhaus Deringer LLP, London",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
anwaltservice,anwaltservicestuggi,"AnwaltService Stuttgart GmbH, Stuttgart",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kreditanstalt,kreditanstaltfrankfurt,"Kreditanstalt für Wiederaufbau (KfW), Frankfurt",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
verwaltung,verwaltungsrat,Verwaltungsrat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
beiratfinanz,beiratfinanzen,Beirat Finanzen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
verantwortung,stiftungverantwortung,"Stiftung Verantwortungseigentum e.V., Berlin",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fdp,parteifdp,Freien Demokraten,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
landesfachausschuss,landesfachausschussfdp,Landesfachausschuss (LFA) Innen und Recht der FDP Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
finanzgremium,finanzmarktgremium,Finanzmarktgremium,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uregensburg,uniregensburg,Universität Regensburg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ucambridge,unicambridge,Universität Cambridge,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uheidelberg,uniheidelberg,Universität Heidelberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
utuebingen,unitübingen,Eberhard-Karls-Universität Tübingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
menschenrechte,menschenrechtefdp,Sprecher für Menschenrechte und humanitäre Hilfe der FDP Bundestagsfraktion,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
richteraus,richterwahlausschuss,Richterwahlausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vereinfreunde,vereinderfreunde,Verein der Freunde des Goldberg-Gymnasiums Sindelfingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
selwyn,selwyncollegeassociation,Selwyn College Association Cambridge,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
scheffelbund,literarischegesellschaft,Literarische Gesellschaft Scheffelbund,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dlrg,dlrg,DLRG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dag,deutschatlantischegesellschaft,Deutsch-Atlantische Gesellschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dig,deutschisaelischegesellschaft,Deutsch-Israelische Gesellschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
help,helpev,help e.V. ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
alumnihd,alumnivereinheidelberg,Alumniverein der Ruprecht-Karls-Universität Heidelberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
freunderegensburg,vereinderfreunderegensburg,Verein der Freunde der Universität Regensburg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rechtaus,rechtsausschuss,Rechtsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
